MI_x_tr,MI_y_tr,MI_x_te,MI_y_te,Acc_tr,Acc_te,loss,epochs
4.676,3.06,4.66,3.066,97.75,97.08,0.075,106
4.676,3.064,4.668,3.072,97.76,97.09,0.075,107
4.676,3.064,4.664,3.066,97.75,97.09,0.075,108
4.676,3.06,4.664,3.068,97.77,97.12,0.075,109
4.68,3.066,4.664,3.07,97.76,97.1,0.075,110
4.676,3.064,4.66,3.062,97.77,97.07,0.075,111
4.676,3.064,4.66,3.066,97.75,97.09,0.075,112
4.68,3.062,4.664,3.064,97.76,97.12,0.075,113
4.68,3.064,4.664,3.07,97.76,97.1,0.075,114
4.68,3.064,4.664,3.072,97.76,97.1,0.075,115
4.676,3.062,4.66,3.066,97.77,97.12,0.075,116
4.676,3.062,4.664,3.064,97.78,97.09,0.075,117
4.676,3.062,4.664,3.066,97.76,97.09,0.075,118
4.676,3.062,4.668,3.068,97.78,97.07,0.075,119
4.68,3.064,4.664,3.064,97.77,97.11,0.075,120
